Fecha;Lifetime Total Likes;Daily New Likes;Daily Unlikes;Daily Page Engaged Users;Weekly Page Engaged Users;28 Days Page Engaged Users;Daily Total Reach;Weekly Total Reach;28 Days Total Reach;Daily Organic Reach;Weekly Organic Reach;28 Days Organic Reach;Daily Paid Reach;Weekly Paid Reach;28 Days Paid Reach;Daily Viral Reach;Weekly Viral Reach;28 Days Viral Reach;Daily Total Impressions;Weekly Total Impressions;28 Days Total Impressions;Daily Organic impressions;Weekly Organic impressions;28 Days Organic impressions;Daily Paid Impressions;Weekly Paid Impressions;28 Days Paid Impressions;Daily Viral impressions;Weekly Viral impressions;28 Days Viral impressions;Daily Logged-in Page Views;Weekly Logged-in Page Views;Daily Logged-in Page Views;Weekly Logged-in Page Views;Daily Reach Of Page Posts;Weekly Reach Of Page Posts;28 Days Reach Of Page Posts;Daily Organic Reach of Page posts;Weekly Organic Reach of Page posts;28 Days Organic Reach of Page posts;Daily Paid Reach of Page posts;Weekly Paid Reach of Page posts;28 Days Paid Reach of Page posts;Daily Viral Reach Of Page Posts;Weekly Viral Reach Of Page Posts;28 Days Viral Reach Of Page Posts;Daily Total Impressions of your posts;Weekly Total Impressions of your posts;28 Days Total Impressions of your posts;Daily Organic impressions of your posts;Weekly Organic impressions of your posts;28 Days Organic impressions of your posts;Daily Paid impressions of your posts;Weekly Paid impressions of your posts;28 Days Paid impressions of your posts;Daily Viral Impressions Of Your Posts;Weekly Viral Impressions Of Your Posts;28 Days Viral Impressions Of Your Posts;Daily Total Consumers;Weekly Total Consumers;28 Days Total Consumers;Daily Page Consumptions;Weekly Page Consumptions;28 Days Page Consumptions;Daily Negative Feedback;Weekly Negative Feedback;28 Days Negative Feedback;Daily Negative Feedback From Users;Weekly Negative Feedback From Users;28 Days Negative Feedback From Users;Daily Total Check-Ins;Weekly Total Check-Ins;28 Days Total Check-Ins;Daily Total Check-Ins;Weekly Total Check-Ins;28 Days Total Check-Ins;Daily Total Check-Ins Using Mobile Devices;Weekly Total Check-Ins Using Mobile Devices;28 Days Total Check-Ins Using Mobile Devices;Daily Total Check-Ins Using Mobile Devices;Weekly Total Check-Ins Using Mobile Devices;28 Days Total Check-Ins Using Mobile Devices;Daily Total Organic Views;Weekly Total Organic Views;28 Days Total Organic Views;Daily Total Promoted Views;Weekly Total Promoted Views;28 Days Total Promoted Views;Daily Total Organic 30-Second Views;Weekly Total Organic 30-Second Views;28 Days Total Organic 30-Second Views;Daily Paid 30-Second Views;Weekly Paid 30-Second Views;28 Days Paid 30-Second Views;Daily Total Video Views;Weekly Total Video Views;28 Days Total Video Views;Daily Total Auto-Played Views;Weekly Total Auto-Played Views;28 Days Total Auto-Played Views;Daily Total Clicked Views;Weekly Total Clicked Views;28 Days Total Clicked Views;Daily Video Repeats;Weekly Video Repeats;28 Days Video Repeats;Daily Total Unique Video Views;Weekly Total Unique Video Views;28 Days Total Unique Video Views;Daily Total 30-Second Views;Weekly Total 30-Second Views;28 Days Total 30-Second Views;Daily Auto-Played 30-Second Views;Weekly Auto-Played 30-Second Views;28 Days Auto-Played 30-Second Views;Daily Total Clicked 30-Second Views;Weekly Total Clicked 30-Second Views;28 Days Total Clicked 30-Second Views;Daily Total 30-Second Repeats;Weekly Total 30-Second Repeats;28 Days Total 30-Second Repeats;Daily Total Unique 30-Second Views;Weekly Total Unique 30-Second Views;28 Days Total Unique 30-Second Views;Daily Total: total action count per Page;Weekly Total: total action count per Page;Daily Total get direction click count per Page;Weekly Total get direction click count per Page;Daily Total get direction click count per Page;Weekly Total get direction click count per Page;Daily Total phone calls click count per Page;Weekly Total phone calls click count per Page;Daily Total phone calls click count per Page;Weekly Total phone calls click count per Page;Daily Total website click count per Page;Weekly Total website click count per Page;Daily Total website click count per Page;Weekly Total website click count per Page
5/30/19;25867;2;;227;1173;19003;48793;262139;671233;138;1355;6024;48640;261456;668804;22;291;2556;56466;519822;2376641;225;3309;19999;56225;516455;2349731;41;433;5855;16;58;3;14;48793;262139;671233;136;1341;5973;48640;261456;668804;20;273;2511;56446;519736;2369641;221;3281;19910;56225;516455;2349731;37;405;5773;212;1066;18539;223;1190;27360;;2;5;;2;17;;;;;;;;;;;;;14;90;995;539;3988;45630;9;37;279;218;1588;6875;553;4078;46625;173;1448;30155;380;2630;16470;197;1686;13107;356;2392;33518;227;1625;7154;36;303;2896;191;1322;4258;94;794;2410;133;831;4744;;3;;;;;;;;;;1;;1
5/31/19;25864;;2;205;1260;18934;57210;263055;677486;95;1295;5881;57144;262631;675086;15;269;2421;64020;502408;2392084;187;3239;19771;63816;499098;2365394;17;386;5609;17;71;5;13;57210;263055;677486;92;1286;5840;57144;262631;675086;12;252;2382;64000;502311;2385089;184;3213;19695;63816;499098;2365394;14;360;5540;195;1162;18483;204;1287;27398;;1;5;;1;17;;;;;;;;;;;;;11;92;996;398;3854;46028;6;41;284;159;1532;7034;409;3946;47024;111;1403;30260;298;2543;16764;166;1661;13496;243;2285;33528;165;1573;7318;25;296;2920;140;1277;4398;65;782;2543;100;791;4775;;2;;;;;;;;;;;;
6/1/19;25861;;2;206;1309;19042;11165;248844;669847;97;1335;5821;11089;248844;667500;56;306;2395;13688;452030;2360699;191;3308;19530;13488;448643;2334246;107;462;5564;9;79;2;14;11165;248844;669847;97;1326;5782;11089;248844;667500;56;290;2357;13679;451929;2353703;191;3286;19457;13488;448643;2334246;107;440;5498;202;1240;18576;205;1381;27397;;1;5;;1;17;;;;;;;;;;;;;7;93;990;77;3422;46105;1;42;279;29;1361;7063;84;3515;47095;82;1278;30333;2;2237;16762;1;1422;13506;83;2093;33589;30;1403;7342;30;295;2947;;1108;4395;;669;2547;30;734;4795;;2;;;;;;;;;;;;
6/2/19;25864;3;;162;1351;19020;11940;221906;663797;24;1290;5742;11934;221874;661493;18;306;2313;14417;374142;2310902;30;3193;19235;14387;370870;2284747;24;456;5395;;79;;14;11940;221906;663797;19;1280;5705;11934;221874;661493;13;288;2279;14410;374034;2303913;23;3164;19166;14387;370870;2284747;17;427;5333;153;1284;18598;163;1401;27363;;1;5;;1;17;;;;;;;;;;;;;7;94;985;84;2819;46189;2;44;277;23;1168;7086;91;2913;47174;88;1016;30414;3;1897;16760;2;1249;13414;89;1664;33760;25;1212;7363;23;260;2969;2;952;4394;;584;2557;25;628;4806;;1;;;;;;;;;;;;
6/3/19;25866;4;2;132;1330;18782;14759;193233;642391;647;1452;5811;14159;193016;640630;55;344;2298;17491;313756;2226843;1518;3824;19928;15944;309840;2200025;77;513;5375;;;;;14732;193233;642391;646;1438;5783;14159;193016;640630;54;327;2270;17457;313633;2219884;1513;3793;19859;15944;309840;2200025;76;486;5317;107;1247;18338;123;1381;27115;1;1;5;2;3;19;;;;;;;;;;;;;16;90;930;110;2321;45716;12;46;265;44;984;7025;126;2411;46646;125;912;30045;1;1499;16601;9;999;13195;117;1412;33451;56;1030;7290;55;264;2935;1;766;4355;6;470;2505;50;560;4785;;1;;;;;;;;;;;;
6/4/19;25868;4;2;344;1485;17949;31889;186737;630439;174;1311;4991;31664;186354;628743;32;238;2149;42914;288859;2148607;384;3448;18643;42503;285306;2128111;48;385;5020;27;105;3;17;31889;186737;630439;172;1299;4957;31664;186354;628743;30;226;2121;42879;288724;2146677;376;3418;18566;42503;285306;2128111;40;359;4954;298;1362;17470;317;1484;24541;;1;5;;3;19;;;;;;;;;;;;;12;84;862;86;1875;39954;3;39;251;33;783;6189;98;1959;40816;98;838;26179;;1121;14637;5;727;10874;93;1232;29942;36;822;6440;36;248;2520;;574;3920;;343;2237;36;479;4203;3;4;;;;;;;;;;;;
6/5/19;25870;4;1;175;1402;15959;20665;152722;608136;75;1026;4924;20600;152361;606557;28;216;2118;25213;234209;2046169;241;2776;17725;24951;231314;2026604;35;349;4771;21;119;7;20;20652;152722;608136;74;1014;4891;20600;152361;606557;27;206;2090;25191;234062;2044252;240;2748;17648;24951;231314;2026604;34;325;4705;155;1279;15530;171;1406;20400;;1;5;;2;19;;;;;;;;;;;;;9;76;835;109;1403;34769;;33;242;41;547;5493;118;1479;35604;116;793;23381;2;686;12223;6;406;8624;112;1073;26980;41;580;5735;41;246;2259;;334;3476;2;178;1952;39;402;3783;1;4;;;;;;;;;;;;
6/6/19;25873;3;;89;1256;13280;10740;120975;586030;296;1081;4775;10521;120555;583902;22;217;1961;12712;190455;1982003;523;3074;17513;12173;187262;1962649;35;343;4459;16;119;8;24;10737;120975;586030;294;1064;4764;10521;120555;583902;19;203;1938;12692;190308;1980081;519;3046;17432;12173;187262;1962649;31;319;4389;71;1134;12857;79;1262;15807;1;1;5;1;3;20;;;;;;;;;;;;;7;69;807;79;943;29885;3;27;231;25;354;4769;86;1012;30692;86;706;20932;;306;9760;1;172;6654;85;840;24038;28;381;5000;28;238;2050;;143;2950;2;75;1645;26;306;3355;2;6;;;;;;;;;;;;
6/7/19;25874;3;2;85;1129;10504;10079;73839;567993;261;1198;4704;9892;73149;565995;110;298;1912;11752;138187;1900294;425;3312;17662;11312;134758;1880834;146;472;4451;15;117;4;23;10071;73839;567993;258;1184;4694;9892;73149;565995;107;285;1890;11732;138040;1898411;420;3282;17577;11312;134758;1880834;141;446;4377;66;1000;10030;75;1133;11661;;1;5;;3;20;;;;;;;;;;;;;4;62;783;90;635;25618;;21;223;35;230;4146;94;697;26401;94;689;19048;;8;7353;;21;5386;94;676;21015;35;251;4369;35;248;1943;;3;2426;;12;1481;35;239;2888;1;7;;;;;;;;;;;;
6/8/19;25874;1;;75;974;7718;10869;73643;551381;99;1203;4607;10782;72853;549497;52;288;1847;12035;136534;1830813;156;3277;17546;11879;133149;1812888;70;435;4325;;108;;21;10869;73643;551381;99;1187;4597;10782;72853;549497;52;275;1828;12035;136396;1830349;156;3247;17461;11879;133149;1812888;70;409;4251;64;854;7246;72;1000;7945;;1;5;;3;19;;;;;;;;;;;;;1;56;774;88;646;20923;;20;222;36;237;3579;89;702;21697;89;696;16605;;6;5092;;31;4438;89;671;17259;36;257;3801;36;254;1793;;3;2008;;9;1249;36;248;2552;1;8;;;;;;;;;;;;
6/9/19;25877;7;2;134;929;4532;15079;76287;542084;141;1288;4588;14964;75249;540263;81;347;1872;18343;140460;1732454;220;3467;17625;18123;136885;1714450;110;521;4357;;108;;21;15079;76287;542084;140;1273;4578;14964;75249;540263;80;335;1852;18341;140327;1731989;218;3442;17539;18123;136885;1714450;108;500;4282;112;801;4090;134;971;4800;;1;5;;3;19;;;;;;;;;;;;;13;62;783;67;629;18055;;18;222;21;235;3259;80;691;18838;78;686;15181;2;5;3657;5;37;3879;75;654;14959;21;253;3481;21;252;1663;;1;1818;;9;1196;21;244;2285;;8;;;;;;;;;;;;
6/10/19;25881;5;1;122;940;4460;15279;74098;530696;82;967;4551;15229;73427;528951;50;337;1862;17769;140738;1658034;162;2111;17704;17597;138538;1639958;74;518;4380;10;89;5;20;15272;74098;530696;80;953;4541;15229;73427;528951;48;326;1842;17756;140626;1657573;159;2088;17615;17597;138538;1639958;71;495;4302;104;807;4039;118;966;4788;;1;5;;1;19;;;;;;;;;;;;;5;51;771;78;597;18132;;6;213;37;228;3296;83;648;18903;83;644;15247;;4;3656;;35;3852;83;613;15051;37;234;3509;37;234;1692;;;1817;1;6;1190;36;228;2319;;8;;;;;;;;;;;;
6/11/19;25881;1;1;107;730;4425;14101;64511;526968;341;1046;4597;13862;63710;525292;20;335;1855;15660;113484;1595978;598;2325;18169;15056;111091;1577438;27;497;4330;6;68;2;19;14101;64511;526968;338;1033;4569;13862;63710;525292;18;324;1828;15648;113395;1595513;592;2304;18075;15056;111091;1577438;21;476;4247;95;630;4025;111;760;4754;1;1;5;1;2;20;;;;;;;;;;;;;5;44;767;76;587;18176;2;5;209;24;219;3313;81;631;18943;80;626;15287;1;5;3656;;24;3843;81;607;15100;26;224;3522;26;224;1705;;;1817;;10;1178;26;214;2344;;5;;;;;;;;;;;;
6/12/19;25879;2;2;61;635;4235;8314;55870;512031;306;1108;4017;8028;54934;510954;20;334;1588;9417;97688;1496279;505;2589;13992;8894;95034;1481952;28;490;3254;18;65;4;16;8314;55870;512031;306;1095;3996;8028;54934;510954;20;323;1560;9399;97603;1495858;505;2569;13906;8894;95034;1481952;28;470;3172;49;546;3827;57;646;4494;;1;4;;2;15;;;;;;;;;;;;;;35;516;95;573;17389;;5;139;38;216;3277;95;608;17905;95;605;14293;;3;3612;;13;3696;95;595;14209;38;221;3416;38;221;1618;;;1798;;4;1155;38;217;2261;1;5;;;;;;;;;;;;
6/13/19;25881;2;;50;604;4142;5919;53500;496384;122;1013;3867;5826;52505;495917;47;363;1464;6303;91279;1419000;216;2282;12915;6069;88930;1405754;71;526;2778;18;67;5;13;5912;53500;496384;119;1000;3847;5826;52505;495917;44;354;1434;6282;91193;1418584;213;2263;12830;6069;88930;1405754;68;507;2697;41;520;3726;44;611;4328;;1;4;;1;11;;;;;;;;;;;;;12;40;468;82;576;14876;4;6;136;30;221;3126;94;616;15344;94;613;11772;;3;3572;;11;3191;94;605;12153;34;227;3262;34;227;1475;;;1787;;2;1174;34;225;2088;1;4;;;;;;;;;;;;
6/14/19;25884;3;;56;576;3941;4291;50921;476185;51;879;3612;4243;50309;475756;18;272;1260;4833;84360;1326070;74;1931;11885;4753;82371;1313867;23;403;2352;6;58;2;12;4291;50921;476185;49;867;3589;4243;50309;475756;16;263;1231;4824;84285;1325670;71;1914;11803;4753;82371;1313867;20;386;2274;47;500;3572;52;588;4148;;1;3;;1;9;;;;;;;;;;;;;4;40;404;34;520;12440;;6;108;13;199;2985;38;560;12844;38;557;9301;;3;3543;1;;2943;37;560;9901;13;205;3093;13;205;1318;;;1775;;;1160;13;205;1933;;3;;;;;;;;;;;;
6/15/19;25886;3;;29;518;3821;3216;47265;458479;32;811;3340;3201;46625;458080;14;235;1044;3861;76186;1254955;149;1924;11368;3706;74198;1243264;23;356;1994;6;64;3;15;3216;47265;458479;32;800;3314;3201;46625;458080;14;226;1013;3855;76105;1254550;149;1907;11286;3706;74198;1243264;23;339;1916;25;454;3477;32;548;4034;;1;3;;1;9;;;;;;;;;;;;;9;48;361;;432;9788;2;8;105;;163;2824;9;480;10149;8;476;6627;1;4;3522;3;4;2398;6;476;7751;2;171;2929;1;170;1156;1;1;1773;1;;1166;1;171;1763;;2;;;;;;;;;;;;
6/16/19;25888;2;;48;441;3618;5444;41997;442328;39;754;3274;5408;41448;442020;34;195;1003;6075;63918;1155327;71;1775;11074;6004;62079;1143930;41;287;1816;;64;;15;5443;41997;442328;38;744;3250;5408;41448;442020;33;186;972;6074;63838;1154922;70;1759;10992;6004;62079;1143930;40;271;1738;40;389;3299;52;466;3867;;1;3;;1;9;;;;;;;;;;;;;6;41;314;;365;7134;;8;101;;142;2599;6;406;7448;6;404;3995;;2;3453;;9;2316;6;397;5132;;150;2700;;149;953;;1;1747;;;1146;;150;1554;2;4;;;;;;;;;;;;
6/17/19;25886;1;1;59;372;3538;6379;35521;420924;270;766;3131;6221;34983;420303;9;150;947;7227;53376;1062827;426;2039;11176;6782;51264;1051324;12;225;1711;19;73;6;15;6368;35521;420924;270;757;3108;6221;34983;420303;9;144;917;7208;53290;1062418;426;2026;11094;6782;51264;1051324;12;212;1633;51;327;3216;56;404;3739;1;1;3;1;2;10;;;;;;;;;;;;;3;39;291;;287;6443;;8;93;;105;2536;3;326;6734;3;324;3286;;2;3448;;11;2546;3;315;4188;;113;2629;;112;885;;1;1744;;;1151;;113;1478;;4;;;;;;;;;;;;
6/18/19;25887;2;;115;380;3461;5135;29173;403238;893;1211;3274;4259;28254;402668;68;197;939;6795;44511;994079;1561;3002;11887;5222;41430;981870;89;287;1671;12;79;5;18;5135;29173;403238;892;1205;3250;4259;28254;402668;67;192;904;6782;44424;993676;1560;2994;11806;5222;41430;981870;88;279;1594;106;337;3168;132;425;3728;1;1;2;2;3;10;;;;;;;;;;;;;3;37;279;;211;6375;;6;86;;81;2509;3;248;6654;3;247;3206;;1;3448;;2;2542;3;246;4112;;87;2595;;86;851;;1;1744;;;1143;;87;1452;2;6;;;;;;;;;2;2;1;1
6/19/19;25887;3;2;73;400;3334;4991;26216;385588;322;1335;3240;4664;25462;385066;106;288;966;5876;40970;905563;533;3030;12060;5332;37868;893188;169;428;1749;11;72;4;18;4991;26216;385588;322;1331;3216;4664;25462;385066;106;283;931;5865;40890;905167;533;3022;11979;5332;37868;893188;169;420;1672;66;360;3076;90;458;3623;;1;2;;3;10;;;;;;;;;;;;;5;42;245;;116;6098;;6;75;;43;2415;5;158;6343;5;157;3012;;1;3331;;3;2368;5;155;3975;;49;2490;;48;816;;1;1674;;;1094;;49;1396;1;6;;;;;;;;;;2;;1
6/20/19;25889;2;;51;408;3240;4674;23861;368215;98;1335;3164;4588;23092;367739;16;261;955;5649;40316;841872;286;3100;11765;5341;37140;829787;32;389;1691;22;76;6;20;4674;23861;368215;98;1333;3136;4588;23092;367739;16;258;921;5627;40235;841472;286;3095;11685;5341;37140;829787;32;384;1615;39;367;2980;46;460;3523;;1;2;;3;9;;;;;;;;;;;;;14;44;243;;34;5541;1;3;73;;13;2176;14;78;5784;14;77;2844;;1;2940;9;13;2082;5;65;3702;1;16;2249;1;15;783;;1;1466;;1;942;1;15;1307;;5;;;;;;;;;;2;;1
6/21/19;25889;2;2;51;401;3159;3834;23039;345986;402;1452;3206;3555;22228;345412;25;261;961;4714;40197;765152;671;3697;12179;4018;36405;752632;34;400;1661;25;95;11;26;3834;23039;345986;402;1450;3173;3555;22228;345412;25;260;928;4689;40100;764736;671;3695;12104;4018;36405;752632;34;398;1590;40;360;2904;46;454;3462;1;1;1;2;5;10;;;;;;;;;;;;;14;54;248;;;5009;4;7;75;;;1961;14;54;5257;14;53;2702;;1;2555;3;16;1818;11;38;3439;4;7;2036;4;6;755;;1;1281;;1;820;4;6;1216;1;6;;;;;;;;;;2;;1
6/22/19;25887;1;2;49;419;3108;3934;23583;326705;153;1474;3182;3802;22686;325987;26;253;951;4352;40688;705438;211;3759;12268;4136;36835;692825;32;409;1662;5;94;3;25;3920;23583;326705;150;1472;3150;3802;22686;325987;24;252;920;4345;40590;705020;209;3755;12195;4136;36835;692825;30;405;1593;41;374;2867;48;470;3399;;1;1;;5;10;;;;;;;;;;;;;5;50;247;;;4500;1;6;76;;;1761;5;50;4747;5;50;2500;;;2247;1;14;1579;4;36;3168;1;6;1837;1;6;725;;;1112;;;711;1;6;1126;;6;;;;;;;;;;2;;1
6/23/19;25886;2;1;66;430;3032;5499;23741;293920;125;1476;3164;5422;22819;293338;21;225;948;6173;40786;619306;202;3890;12325;5968;36799;606633;42;410;1674;3;97;2;27;5494;23741;293920;124;1472;3136;5422;22819;293338;20;223;917;6169;40685;618884;201;3886;12251;5968;36799;606633;41;406;1604;58;385;2784;67;485;3323;;1;1;;5;10;;;;;;;;;;;;;9;53;250;;;3813;;6;76;;;1545;9;53;4063;8;52;2158;1;1;1905;;14;1393;9;39;2670;;6;1621;;6;667;;;954;;;626;;6;995;;4;;;;;;;;;;2;;1
6/24/19;25889;5;2;55;419;2946;5870;23411;263091;83;1472;3045;5816;22606;261826;20;229;945;6623;40182;548052;200;3664;11638;6396;36413;536055;32;430;1686;27;105;12;35;5865;23411;263091;81;1464;3010;5816;22606;261826;18;225;910;6591;40068;547617;195;3655;11562;6396;36413;536055;27;421;1614;48;377;2689;51;480;3231;;1;1;;4;10;;;;;;;;;;;;;13;63;243;;;3205;2;8;68;;;1317;13;63;3448;13;62;1942;;1;1506;4;17;1132;9;46;2316;2;8;1385;2;8;618;;;767;1;1;502;1;7;883;1;5;;;;;;;;;;2;;1
6/25/19;25892;5;2;389;696;3122;16205;34123;253569;671;1331;3076;15589;33150;252064;120;309;929;17079;50466;497320;987;3090;11865;16018;47209;485036;149;490;1659;74;167;21;51;16205;34123;253569;671;1324;3054;15589;33150;252064;120;305;900;17005;50291;496834;987;3082;11798;16018;47209;485036;149;482;1596;377;649;2871;606;954;3623;1;1;1;2;4;12;;;;;;;;;;;;;72;132;297;1560;1560;4233;27;35;85;529;529;1612;1632;1692;4530;1575;1634;3345;57;58;1185;110;132;900;1522;1560;3630;556;564;1697;512;520;1078;44;44;619;18;20;379;538;544;1318;1;4;;;;;;;;;;;;
6/26/19;25890;1;3;816;1456;3795;39763;67159;240281;625;1487;3159;39149;66139;238208;218;423;1100;42254;86844;459711;1125;3682;12077;41070;82947;447163;299;620;1887;59;215;28;72;39763;67159;240281;624;1476;3126;39149;66139;238208;218;418;1074;42194;86620;459175;1124;3673;12012;41070;82947;447163;299;612;1827;786;1384;3510;1159;2023;4533;1;1;1;1;5;12;;;;;;;;;;;;;117;244;397;4597;6157;8249;52;87;131;1473;2002;2808;4714;6401;8646;4637;6266;7821;77;135;825;126;614;1040;4588;5787;7606;1525;2089;2939;1467;1987;2502;58;102;437;28;67;269;1497;2022;2670;;3;;;;;;;;;;;;
6/27/19;25889;1;1;593;1990;4112;38320;91337;233880;834;1912;3493;37545;89913;230603;319;699;1372;41357;122552;444602;1248;4644;13100;40071;117677;431009;439;1027;2285;38;231;20;84;38320;91337;233880;832;1902;3461;37545;89913;230603;317;693;1345;41312;122305;444041;1241;4628;13032;40071;117677;431009;432;1012;2222;564;1895;3834;837;2814;5147;1;1;1;1;6;13;;;;;;;;;;;;;89;319;472;3791;9948;11501;43;129;165;917;2919;3507;3880;10267;11973;3812;10064;11460;68;203;513;72;1092;1356;3808;9175;10617;960;3048;3672;902;2888;3368;58;160;304;35;68;123;925;2980;3549;;3;;;;;;;;;;;;
6/28/19;25891;2;;526;2424;4340;23843;105690;188114;743;2307;3907;23160;103662;184636;418;1088;1763;28802;146640;409384;1171;5144;14084;27594;141253;394787;565;1558;2833;37;243;18;92;23837;105690;188114;743;2301;3880;23160;103662;184636;418;1083;1737;28762;146378;408803;1168;5125;14016;27594;141253;394787;562;1540;2770;503;2304;4017;661;3429;5604;1;1;1;1;5;14;;;;;;;;;;;;;114;419;575;2425;12373;13528;55;180;214;851;3770;4199;2539;12792;14103;2488;12538;13837;51;254;266;170;1814;1817;2369;10978;12286;906;3950;4413;864;3748;4207;42;202;206;19;110;89;887;3840;4324;;2;;;;;;;;;;;;
6/29/19;25888;2;3;275;2704;4478;17957;118545;195642;547;2641;4219;17463;115762;191443;393;1416;2025;22295;164583;417991;731;5664;14624;21539;158656;402838;505;2031;3231;25;263;11;99;17957;118545;195642;546;2637;4188;17463;115762;191443;392;1412;1998;22267;164300;417391;728;5644;14553;21539;158656;402838;502;2012;3165;258;2580;4142;274;3655;5673;;1;1;;5;14;;;;;;;;;;;;;89;503;657;6;12379;13457;33;212;246;4;3774;4174;95;12882;14114;94;12627;13849;1;255;265;6;1848;1853;89;11034;12261;37;3986;4420;36;3783;4213;1;203;207;2;93;71;35;3893;4349;;2;;;;;;;;;;;;
6/30/19;25888;3;2;363;3001;4714;23377;131183;205097;386;2980;4588;22824;128036;201387;316;1704;2332;27253;185663;430827;493;5955;15087;26725;179413;415176;401;2390;3608;35;295;14;107;23377;131183;205097;383;2980;4569;22824;128036;201387;313;1700;2307;27215;185346;430196;490;5933;15020;26725;179413;415176;398;2369;3546;350;2859;4357;360;3948;5870;;1;1;;5;14;;;;;;;;;;;;;70;564;720;6;12385;13379;26;238;270;2;3776;4153;76;12949;14099;75;12694;13836;1;255;263;11;1846;1881;65;11103;12218;28;4014;4423;27;3810;4217;1;204;206;4;87;49;24;3927;4374;;2;;;;;;;;;;;;
7/1/19;25889;3;;324;3274;4848;19132;138998;211885;381;3081;4425;18772;135797;208026;78;1763;2341;23035;202075;436371;706;6461;14275;22292;195309;421524;100;2458;3631;37;305;21;113;19121;138998;211885;381;3081;4425;18772;135797;208026;78;1758;2325;22998;201753;435737;706;6444;14213;22292;195309;421524;100;2442;3570;306;3117;4523;324;4221;6071;;1;1;;5;12;;;;;;;;;;;;;36;587;740;1;12386;13270;17;253;275;;3776;4109;37;12973;14010;33;12714;13744;4;259;266;10;1847;1929;27;11126;12081;17;4029;4384;14;3822;4176;3;207;208;;95;69;17;3934;4315;;1;;;;;;;;;;;;
7/2/19;25888;1;1;263;3136;4785;13639;137842;208433;174;2819;4487;13499;134952;204589;69;1751;2379;17564;202560;411021;283;5757;14174;17252;196543;396273;84;2393;3667;29;260;10;104;13633;137842;208433;174;2819;4487;13499;134952;204589;69;1746;2363;17535;202283;410393;283;5740;14120;17252;196543;396273;84;2377;3614;246;2963;4505;253;3868;6007;;1;1;;3;12;;;;;;;;;;;;;14;529;742;;10826;13184;5;231;277;;3247;4076;14;11355;13926;14;11153;13660;;202;266;4;1288;1961;10;10067;11965;5;3478;4353;5;3315;4145;;163;208;;118;94;5;3360;4259;;;;;;;;;;;;;;
7/3/19;25889;1;;134;2434;4816;7105;115176;204041;54;2507;4478;7067;112909;200252;13;1547;2360;8455;168761;394263;73;4705;14006;8365;163838;379687;16;2110;3648;17;218;7;85;7104;115176;204041;53;2504;4478;7067;112909;200252;13;1541;2344;8435;168524;393637;70;4686;13950;8365;163838;379687;16;2094;3596;130;2310;4532;135;2844;5971;;1;1;;2;12;;;;;;;;;;;;;11;423;744;;6229;13075;5;184;282;;1774;4035;11;6652;13819;10;6526;13554;1;126;265;2;440;1959;9;6212;11860;5;1958;4317;4;1852;4108;1;106;209;1;61;82;4;1897;4235;;;;;;;;;;;;;;
7/4/19;25890;2;1;247;2118;4969;12107;90374;204634;480;2172;4478;11767;88646;201019;50;1301;2373;15611;143015;397162;1186;4643;14669;14365;138132;381879;74;1745;3687;60;240;17;83;12106;90374;204634;480;2167;4478;11767;88646;201019;50;1294;2360;15551;142763;396496;1186;4631;14617;14365;138132;381879;74;1736;3639;235;2017;4694;250;2257;6142;;1;1;;1;11;;;;;;;;;;;;;34;368;771;204;2642;13200;12;153;291;47;904;4057;238;3010;13971;224;2938;13692;14;72;279;13;210;1985;225;2800;11986;59;1057;4348;50;1000;4130;9;57;218;1;21;73;58;1036;4275;;;;;;;;;;;;;;
7/5/19;25890;1;1;207;1818;5171;11657;80993;207243;977;2285;4775;10869;79140;204042;78;967;2382;14739;128952;400149;1510;4982;15754;13194;123732;383761;116;1296;3657;35;238;17;80;11636;80993;207243;975;2282;4775;10869;79140;204042;77;959;2366;14702;128703;399466;1508;4971;15705;13194;123732;383761;114;1288;3612;195;1737;4913;216;1812;6283;;;1;;;11;;;;;;;;;;;;;28;282;795;347;564;13457;6;104;297;60;113;4082;375;846;14252;350;800;13948;25;46;304;8;49;1977;367;797;12275;66;217;4379;52;188;4147;14;29;232;;5;55;66;212;4324;;;;;;;;;;;;;;
7/6/19;25892;2;;144;1688;5221;6798;73367;206201;316;2033;4848;6598;72096;202846;36;630;2366;8440;115097;396554;443;4694;16041;7985;110178;379867;58;849;3645;12;225;6;75;6798;73312;206201;315;2030;4848;6598;72096;202846;35;624;2347;8427;114863;395858;442;4685;15991;7985;110178;379867;57;843;3599;136;1612;5014;148;1686;6359;1;1;1;1;1;12;;;;;;;;;;;;;13;206;807;353;911;13722;3;74;300;57;166;4103;366;1117;14529;333;1039;14192;33;78;337;17;74;2004;349;1043;12525;60;240;4403;45;197;4156;15;43;247;3;10;71;57;230;4332;;;;;;;;;;;;;;
